week,year,Hos_INF_0,Hos_INF_1,Hos_RSV_0,Hos_RSV_1,both_0,both_1
6,2007,0,0,0,0,0,0
7,2007,0,1,0,0,0,0
8,2007,1,0,0,0,0,0
9,2007,0,0,0,0,0,0
10,2007,0,1,1,0,1,0
11,2007,1,0,1,1,2,3
12,2007,3,0,0,0,1,0
13,2007,5,1,1,0,0,0
14,2007,4,3,0,0,0,0
15,2007,3,4,1,0,1,0
16,2007,3,0,1,0,0,0
17,2007,1,1,0,0,0,0
18,2007,3,2,0,0,0,0
19,2007,2,0,0,0,0,0
20,2007,3,1,1,0,0,0
21,2007,5,4,0,0,1,0
22,2007,3,3,1,1,2,0
23,2007,0,0,3,0,2,0
24,2007,2,1,0,0,2,1
25,2007,3,0,1,0,1,0
26,2007,2,1,0,1,0,0
27,2007,4,0,6,1,0,0
28,2007,1,0,7,3,1,0
29,2007,1,1,15,5,1,0
30,2007,3,0,5,5,1,0
31,2007,0,1,6,5,2,0
32,2007,0,1,13,2,0,0
33,2007,0,1,16,3,1,0
34,2007,1,0,8,4,1,0
35,2007,0,0,4,1,0,0
36,2007,0,0,6,0,2,0
37,2007,1,0,7,0,1,1
38,2007,0,1,6,1,0,1
39,2007,0,1,5,2,0,0
40,2007,0,1,4,0,0,0
41,2007,0,1,7,0,0,0
42,2007,0,1,9,0,0,0
43,2007,0,0,3,1,0,0
44,2007,0,0,2,1,0,0
45,2007,0,0,2,0,0,0
46,2007,0,0,3,1,0,0
47,2007,0,0,2,0,0,0
48,2007,0,0,1,0,0,0
49,2007,0,0,1,0,0,0
50,2007,0,0,0,0,0,0
51,2007,0,0,0,0,0,0
52,2007,1,0,0,0,0,0
1,2008,0,0,0,0,0,0
2,2008,1,2,0,0,0,0
3,2008,0,0,0,0,0,0
4,2008,0,0,0,0,0,0
5,2008,2,0,0,0,0,0
6,2008,0,0,0,0,0,0
7,2008,0,0,0,0,0,0
8,2008,1,0,0,0,0,0
9,2008,1,0,1,0,0,0
10,2008,1,2,0,0,0,0
11,2008,0,0,0,0,0,0
12,2008,2,1,0,0,0,0
13,2008,0,0,0,0,0,0
14,2008,0,0,0,0,0,0
15,2008,0,3,0,0,0,0
16,2008,0,0,0,0,0,0
17,2008,3,4,1,1,0,0
18,2008,0,2,0,0,0,0
19,2008,2,0,0,0,0,0
20,2008,2,1,0,0,0,0
21,2008,1,1,0,1,0,0
22,2008,1,3,0,1,0,0
23,2008,0,0,0,0,0,0
24,2008,0,1,0,0,0,0
25,2008,0,0,1,0,0,0
26,2008,0,0,2,1,0,0
27,2008,0,0,4,0,2,0
28,2008,0,0,5,3,0,0
29,2008,0,0,8,2,0,0
30,2008,1,0,1,0,0,0
31,2008,0,0,3,1,4,1
32,2008,0,0,4,0,1,0
33,2008,0,0,3,0,2,1
34,2008,0,0,6,1,0,0
35,2008,0,0,1,1,0,0
36,2008,0,0,2,0,0,0
37,2008,0,0,1,0,0,0
38,2008,0,0,6,0,0,0
39,2008,0,0,1,0,2,1
40,2008,0,0,3,1,1,0
41,2008,0,0,4,0,0,0
42,2008,0,0,7,0,0,0
43,2008,0,0,1,0,0,0
44,2008,0,0,4,1,0,0
45,2008,0,1,3,0,0,0
46,2008,0,0,4,1,1,0
47,2008,2,1,0,0,0,0
48,2008,0,0,0,0,0,0
49,2008,2,1,3,2,0,0
50,2008,0,2,0,0,0,0
51,2008,0,2,0,0,0,0
52,2008,0,0,0,0,0,0
1,2009,1,0,2,0,0,0
2,2009,1,1,0,0,0,0
3,2009,1,0,0,0,0,0
4,2009,1,0,0,0,0,0
5,2009,1,0,0,0,0,0
6,2009,1,0,0,0,0,0
7,2009,0,1,0,0,0,0
8,2009,1,0,0,0,0,0
9,2009,1,1,0,0,0,0
10,2009,0,0,0,0,0,0
11,2009,1,1,0,0,0,0
12,2009,0,0,0,0,0,0
13,2009,1,0,0,0,0,0
14,2009,0,0,0,0,0,0
15,2009,0,0,0,0,0,0
16,2009,0,1,0,0,0,0
17,2009,1,1,0,0,0,0
18,2009,0,1,0,0,0,0
19,2009,2,2,0,0,1,0
20,2009,2,0,0,0,0,0
21,2009,2,0,0,0,0,0
22,2009,2,1,1,0,0,0
23,2009,0,0,0,0,0,0
